Gene,
PSME3,
IFI30,
KIR3DL3,
CREB1,
CTSB,
CTSL,
CTSS,
PDIA3,
HLA-A,
HLA-B,
HLA-C,
HLA-DMA,
HLA-DMB,
HLA-DOA,
HLA-DOB,
HLA-DPA1,
HLA-DPB1,
HLA-DQA1,
HLA-DQA2,
HLA-DQB1,
HLA-DRA,
HLA-DRB1,
HLA-DRB3,
HLA-DRB4,
HLA-DRB5,
HLA-E,
HLA-F,
HLA-G,
HSPA1A,
HSPA1B,
HSPA1L,
HSPA2,
HSPA4,
HSPA5,
HSPA6,
HSPA8,
HSP90AA1,
HSP90AB1,
IFNA1,
IFNA2,
IFNA4,
IFNA5,
IFNA6,
IFNA7,
IFNA8,
IFNA10,
IFNA13,
IFNA14,
IFNA16,
IFNA17,
IFNA21,
KIR2DL1,
KIR2DL2,
KIR2DL3,
KIR2DL4,
KIR2DS1,
KIR2DS3,
KIR2DS4,
KIR2DS5,
KIR3DL1,
KIR3DL2,
KLRC1,
KLRC2,
KLRC3,
KLRD1,
LTA,
CIITA,
NFYA,
NFYB,
NFYC,
LGMN,
B2M,
PSME1,
PSME2,
KIR2DL5A,
RFX5,
RFXAP,
TAP1,
TAP2,
TAPBP,
CALR,
CANX,
KLRC4,
RFXANK,
CD4,
CD8A,
CD8B,
CD74,
